Size,Indices,AIC,BIC,CICOMP
1,Temp_C,3090.2675366924514,3101.6374172051433,3092.0574954823833
1,pH,3129.2065919321017,3140.5764724447936,3130.9965515053373
1,DOC_M,2818.7512363084184,2830.1211168211103,2820.5411964787145
1,DIC_mM,2923.161225490435,2934.5311060031268,2924.935358545722
1,Ca_uM,3099.0485569367065,3110.4184374493984,3100.8385170993756
1,Mg_uM,3113.4948371513105,3124.8647176640025,3115.284797215309
1,Na_uM,2865.402403470979,2876.772283983671,2867.192363483523
1,K_uM,3129.2923470378887,3140.6622275505806,3131.082306776338
1,SO4_uM,3125.460610815027,3136.830491327719,3127.250570031991
1,Cl_uM,2840.9931629370567,2852.3630434497486,2842.783122773476
2,"Temp_C,pH",3027.34966300828,3042.509503691869,3039.71830517626
2,"Temp_C,DOC_M",2595.9826678076424,2611.1425084912316,2608.352547422215
2,"Temp_C,DIC_mM",2645.67683946056,2660.8366801441493,2656.6652996577445
2,"Temp_C,Ca_uM",2776.6729403418485,2791.8327810254377,2788.918419336216
2,"Temp_C,Mg_uM",2688.0761098801977,2703.235950563787,2700.378916314245
2,"Temp_C,Na_uM",2771.563342339253,2786.723183022842,2783.897439857581
2,"Temp_C,K_uM",2954.387125835042,2969.546966518631,2966.7465283854644
2,"Temp_C,SO4_uM",3083.4204379571474,3098.5802786407367,3089.6110686069446
2,"Temp_C,Cl_uM",2795.9024720070715,2811.0623126906607,2808.271980115581
2,"pH,DOC_M",2192.5198738936347,2207.679714577224,2204.889741265532
2,"pH,DIC_mM",2790.197652976935,2805.357493660524,2802.5673082990643
2,"pH,Ca_uM",3057.661300384667,3072.821141068256,3069.543689243504
2,"pH,Mg_uM",3087.4597092729505,3102.6195499565397,3099.829534809382
2,"pH,Na_uM",2813.2121286160095,2828.3719692995987,2825.57815158259
2,"pH,K_uM",3131.14911284924,3146.308953532829,3143.5189105536406
2,"pH,SO4_uM",3127.4532290220436,3142.613069705633,3139.8231084260374
2,"pH,Cl_uM",2660.234524801975,2675.3943654855643,2672.596420034627
2,"DOC_M,DIC_mM",2820.716336226722,2835.876176910311,2833.086216736102
2,"DOC_M,Ca_uM",2734.7144233939753,2749.8742640775645,2747.084302334281
2,"DOC_M,Mg_uM",2678.2355030347276,2693.395343718317,2690.6053829312687
2,"DOC_M,Na_uM",2586.8785875478325,2602.0384282314217,2599.2484677095013
2,"DOC_M,K_uM",2773.259912128638,2788.419752812227,2785.629791679489
2,"DOC_M,SO4_uM",2818.8862844920327,2834.046125175622,2831.256162505442
2,"DOC_M,Cl_uM",2406.7404383828066,2421.900279066396,2419.110318681938
2,"DIC_mM,Ca_uM",2888.0037849308724,2903.1636256144616,2897.7251888628607
2,"DIC_mM,Mg_uM",2664.682178433071,2679.84201911666,2667.771031859093
2,"DIC_mM,Na_uM",2663.9243226753188,2679.084163358908,2675.9627177455477
2,"DIC_mM,K_uM",2791.4637786360263,2806.6236193196155,2803.489188138312
2,"DIC_mM,SO4_uM",2921.9575533112725,2937.1173939948617,2934.3272580500106
2,"DIC_mM,Cl_uM",2685.723351433087,2700.883192116676,2698.070101697461
2,"Ca_uM,Mg_uM",3094.702405546032,3109.862246229621,3107.072283345431
2,"Ca_uM,Na_uM",2440.5547462721825,2455.7145869557717,2452.9158286370084
2,"Ca_uM,K_uM",3017.076258546382,3032.2360992299714,3027.8064731821887
2,"Ca_uM,SO4_uM",3098.7202082611034,3113.8800489446926,3111.090088358098
2,"Ca_uM,Cl_uM",2540.906336751076,2556.0661774346654,2553.2761133932245
2,"Mg_uM,Na_uM",2675.7730758224707,2690.93291650606,2688.1421601320403
2,"Mg_uM,K_uM",3056.8248543049253,3071.9846949885145,3069.100266468468
2,"Mg_uM,SO4_uM",3114.3055475975784,3129.4653882811676,3126.6754275016165
2,"Mg_uM,Cl_uM",2718.3791339524605,2733.5389746360497,2730.7490137733234
2,"Na_uM,K_uM",2568.680937502015,2583.840778185604,2581.030852671559
2,"Na_uM,SO4_uM",2738.5749669322063,2753.7348076157955,2750.9356628357855
2,"Na_uM,Cl_uM",2830.1503848918414,2845.3102255754306,2842.5202583182872
2,"K_uM,SO4_uM",3126.896401104822,3142.056241788411,3139.2662183889597
2,"K_uM,Cl_uM",2786.855222907861,2802.01506359145,2799.2211268838987
2,"SO4_uM,Cl_uM",2743.2383567257107,2758.3981974093,2755.6082148551363
3,"Temp_C,pH,DOC_M",2143.680522136543,2162.630322991029,2172.420229657885
3,"Temp_C,pH,DIC_mM",2646.648211912993,2665.598012767479,2675.362881157795
3,"Temp_C,pH,Ca_uM",2778.6077841988454,2797.5575850533314,2807.3404743701585
3,"Temp_C,pH,Mg_uM",2686.810903294567,2705.7607041490533,2715.5501665901634
3,"Temp_C,pH,Na_uM",2773.0520170043364,2792.0018178588225,2801.790998043831
3,"Temp_C,pH,K_uM",2721.0576210528975,2740.0074219073836,2749.7664868671673
3,"Temp_C,pH,SO4_uM",3025.0482605053467,3043.9980613598327,3053.786154993048
3,"Temp_C,pH,Cl_uM",2657.8523707898266,2676.8021716443127,2686.5868425251606
3,"Temp_C,DOC_M,DIC_mM",2549.0496798295612,2567.9994806840473,2577.789440843831
3,"Temp_C,DOC_M,Ca_uM",2575.6472261506433,2594.5970270051293,2604.3869869700898
3,"Temp_C,DOC_M,Mg_uM",2576.273904901736,2595.223705756222,2605.0136657266676
3,"Temp_C,DOC_M,Na_uM",2576.1800321438322,2595.1298329983183,2604.9197931088092
3,"Temp_C,DOC_M,K_uM",2405.6940772146672,2424.6438780691533,2434.4338375227603
3,"Temp_C,DOC_M,SO4_uM",2597.977274315829,2616.927075170315,2626.7170339141703
3,"Temp_C,DOC_M,Cl_uM",2399.468583627688,2418.418384482174,2428.2083442165003
3,"Temp_C,DIC_mM,Ca_uM",2560.2485252942383,2579.1983261487244,2588.923972085125
3,"Temp_C,DIC_mM,Mg_uM",2647.664662792931,2666.614463647417,2661.655569925133
3,"Temp_C,DIC_mM,Na_uM",2642.639406849895,2661.589207704381,2657.580275777237
3,"Temp_C,DIC_mM,K_uM",2628.8254314103633,2647.7752322648494,2654.3555291320854
3,"Temp_C,DIC_mM,SO4_uM",2617.5073422812548,2636.457143135741,2643.74059504818
3,"Temp_C,DIC_mM,Cl_uM",2642.881511452028,2661.831312306514,2671.567988854281
3,"Temp_C,Ca_uM,Mg_uM",2658.2922781480625,2677.2420790025485,2686.265048686911
3,"Temp_C,Ca_uM,Na_uM",2407.043901494485,2425.993702348971,2435.145966721546
3,"Temp_C,Ca_uM,K_uM",2768.871278735259,2787.821079589745,2795.5359806708902
3,"Temp_C,Ca_uM,SO4_uM",2358.633642050928,2377.583442905414,2387.3733855607334
3,"Temp_C,Ca_uM,Cl_uM",2452.5661049004107,2471.5159057548967,2479.721342283341
3,"Temp_C,Mg_uM,Na_uM",2632.9735807296934,2651.9233815841794,2659.3796508001114
3,"Temp_C,Mg_uM,K_uM",2682.5991650003652,2701.5489658548513,2711.327575476562
3,"Temp_C,Mg_uM,SO4_uM",2689.787544157451,2708.737345011937,2718.3935695950904
3,"Temp_C,Mg_uM,Cl_uM",2643.509149217136,2662.458950071622,2672.246868150589
3,"Temp_C,Na_uM,K_uM",2545.8936269425253,2564.8434277970114,2574.1873328876945
3,"Temp_C,Na_uM,SO4_uM",2456.6551023750462,2475.6049032295323,2484.8167887677278
3,"Temp_C,Na_uM,Cl_uM",2727.059499639176,2746.009300493662,2755.7707158630433
3,"Temp_C,K_uM,SO4_uM",2950.4204311336066,2969.3702319880927,2976.7041431717075
3,"Temp_C,K_uM,Cl_uM",2788.816692654301,2807.766493508787,2816.631340701999
3,"Temp_C,SO4_uM,Cl_uM",2663.970264269321,2682.920065123807,2692.7042331234984
3,"pH,DOC_M,DIC_mM",2193.3977799824106,2212.3475808368967,2222.137531714209
3,"pH,DOC_M,Ca_uM",2159.7312952580596,2178.6810961125457,2188.47100591091
3,"pH,DOC_M,Mg_uM",2180.801707185975,2199.751508040461,2209.5414082133148
3,"pH,DOC_M,Na_uM",2187.586968884984,2206.53676973947,2216.3267137938483
3,"pH,DOC_M,K_uM",2161.735258861422,2180.685059715908,2190.474959881105
3,"pH,DOC_M,SO4_uM",2194.115535596504,2213.06533645099,2222.855279917628
3,"pH,DOC_M,Cl_uM",2192.5765793969504,2211.5263802514364,2221.3163276350583
3,"pH,DIC_mM,Ca_uM",2789.759364674334,2808.70916552882,2818.4978545620597
3,"pH,DIC_mM,Mg_uM",2665.9347210546853,2684.8845219091713,2694.595152003441
3,"pH,DIC_mM,Na_uM",2650.6270710472095,2669.5768719016955,2679.3612921358636
3,"pH,DIC_mM,K_uM",2708.1761092093802,2727.1259100638663,2736.893802649623
3,"pH,DIC_mM,SO4_uM",2767.879685636147,2786.829486490633,2796.618388691793
3,"pH,DIC_mM,Cl_uM",2661.5352908249233,2680.4850916794094,2690.2728782771433
3,"pH,Ca_uM,Mg_uM",3059.579689881665,3078.5294907361513,3088.2584038224577
3,"pH,Ca_uM,Na_uM",2207.716103467677,2226.665904322163,2236.4535121645604
3,"pH,Ca_uM,K_uM",2897.9537789966253,2916.9035798511113,2926.5929992296724
3,"pH,Ca_uM,SO4_uM",3024.273335452559,3043.223136307045,3053.0130345947996
3,"pH,Ca_uM,Cl_uM",2536.1179537412067,2555.067754595693,2564.852875636299
3,"pH,Mg_uM,Na_uM",2643.0017014234854,2661.9515022779715,2671.7412245067053
